Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006888~ER to Golgi vesicle-mediated transport	6	6.593406593406594	2.9671168900681467E-4	ENSG00000122218, ENSG00000170348, ENSG00000074695, ENSG00000138768, ENSG00000153339, ENSG00000138674	85	135	19462	10.176209150326796	0.16731368233091148	0.18307111211720464	0.18307111211720464
GOTERM_BP_DIRECT	GO:0007030~Golgi organization	5	5.4945054945054945	0.002857806836055857	ENSG00000141376, ENSG00000170348, ENSG00000074695, ENSG00000176018, ENSG00000153339	85	136	19462	8.417820069204152	0.828948597182116	0.8816334089232318	0.8816334089232318
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	6	6.593406593406594	0.015327299430697184	ENSG00000122218, ENSG00000132842, ENSG00000170348, ENSG00000184575, ENSG00000138768, ENSG00000138674	85	337	19462	4.076522953395008	0.9999273725517736	1.0	1.0
GOTERM_BP_DIRECT	GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling	3	3.296703296703297	0.024384230716411808	ENSG00000100614, ENSG00000064012, ENSG00000103423	85	56	19462	12.265966386554622	0.9999997573241151	1.0	1.0
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	7	7.6923076923076925	0.02973032787332441	ENSG00000165672, ENSG00000144747, ENSG00000104765, ENSG00000153071, ENSG00000170540, ENSG00000103423, ENSG00000139644	85	542	19462	2.9571087475580637	0.9999999918220239	1.0	1.0
GOTERM_BP_DIRECT	GO:0033211~adiponectin-activated signaling pathway	2	2.197802197802198	0.02982885943777982	ENSG00000159346, ENSG00000006831	85	7	19462	65.41848739495799	0.9999999923187313	1.0	1.0
GOTERM_BP_DIRECT	GO:0050680~negative regulation of epithelial cell proliferation	3	3.296703296703297	0.03303909307961672	ENSG00000092330, ENSG00000153071, ENSG00000139687	85	66	19462	10.407486631016042	0.9999999990061944	1.0	1.0
GOTERM_BP_DIRECT	GO:0007346~regulation of mitotic cell cycle	3	3.296703296703297	0.03396198180876681	ENSG00000131931, ENSG00000139687, ENSG00000140575	85	67	19462	10.252151009657593	0.9999999994486433	1.0	1.0
GOTERM_BP_DIRECT	GO:0033210~leptin-mediated signaling pathway	2	2.197802197802198	0.03401772480797484	ENSG00000159346, ENSG00000116678	85	8	19462	57.24117647058823	0.9999999994679282	1.0	1.0
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	5	5.4945054945054945	0.036849813207246965	ENSG00000135108, ENSG00000082996, ENSG00000123124, ENSG00000131507, ENSG00000151893	85	290	19462	3.9476673427991886	0.9999999999130627	1.0	1.0
GOTERM_BP_DIRECT	GO:0044829~positive regulation by host of viral genome replication	2	2.197802197802198	0.04647739181653443	ENSG00000069275, ENSG00000047188	85	11	19462	41.62994652406417	0.9999999999998233	1.0	1.0
GOTERM_BP_DIRECT	GO:0006613~cotranslational protein targeting to membrane	2	2.197802197802198	0.05059522118629549	ENSG00000170540, ENSG00000124783	85	12	19462	38.16078431372549	0.9999999999999878	1.0	1.0
GOTERM_BP_DIRECT	GO:0007005~mitochondrion organization	3	3.296703296703297	0.053288618800339825	ENSG00000165672, ENSG00000066855, ENSG00000103423	85	86	19462	7.987140902872778	0.9999999999999979	1.0	1.0
GOTERM_BP_DIRECT	GO:0031023~microtubule organizing center organization	2	2.197802197802198	0.054695478328530785	ENSG00000135968, ENSG00000141376	85	13	19462	35.22533936651583	0.9999999999999991	1.0	1.0
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	4	4.395604395604396	0.05902969937688129	ENSG00000100614, ENSG00000064012, ENSG00000131507, ENSG00000165732	85	205	19462	4.467604017216643	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045651~positive regulation of macrophage differentiation	2	2.197802197802198	0.06689155571836411	ENSG00000064012, ENSG00000139687	85	16	19462	28.620588235294115	1.0	1.0	1.0
